Food category,UK GHG emissions (kgCO2e/kg),type
Alcoholic Beverages,3.3,Vegan
Animal Fats,40.1,Carne
Apples,0.7,Vegan
"Aquatic Animals, Others",0,Carne
Aquatic Plants,0,Vegan
"Aquatic Products, Other",0,Carne
Bananas,1.4,Vegan
Barley,3.8,Vegan
Beans,0.8,Vegan
Beer,3.8,Vegan
"Beverages, Alcoholic",3.5,Vegan
"Beverages, Fermented",2.4,Vegan
Bovine Meat,68.8,Carne
"Butter, Ghee",1.8,Vegetarian
Cephalopods,5.4,Carne
Cereals - Excluding Beer,1.8,Vegan
"Cereals, Other",1.8,Vegan
"Citrus, Other",0.7,Vegan
Cocoa Beans,3.4,Vegan
Coconut Oil,2.1,Vegan
Coconuts - Incl Copra,2.1,Vegan
Coffee,10.1,Vegan
Cream,2.4,Vegetarian
Crustaceans,5.4,Carne
Dates,1.1,Vegan
Demersal Fish,5.4,Carne
Eggs,4.9,Vegetarian
"Fats, Animals, Raw",35.6,Carne
"Fish, Body Oil",0,Carne
"Fish, Liver Oil",0,Carne
"Fish, Seafood",5.4,Carne
Freshwater Fish,5.4,Carne
Fruits - Excluding Wine,0.9,Vegan
"Fruits, Other",0.9,Vegan
Grapefruit,0.8,Vegan
Grapes,0.8,Vegan
Groundnut Oil,0.9,Vegan
Groundnuts (Shelled Eq),1.4,Vegan
Honey,1,Vegetarian
"Lemons, Limes",0.6,Vegan
Maize,0.7,Vegan
Maize Germ Oil,0.4,Vegan
"Marine Fish, Other",5.4,Carne
Meat,35.9,Carne
"Meat, Other",35.7,Carne
Milk - Excluding Butter,1.8,Vegetarian
"Molluscs, Other",0,Carne
Mutton & Goat Meat,64.2,Carne
Oats,1,Vegan
Offals,35.9,Carne
Oilcrops,1.8,Vegan
"Oilcrops Oil, Other",2.4,Vegan
"Oilcrops, Other",2.3,Vegan
Olive Oil,4.5,Vegan
Olives,4.5,Vegan
Onions,0.5,Vegan
"Oranges, Mandarines",0.6,Vegan
Palm Oil,3.3,Vegan
Palmkernel Oil,0,Vegan
Peas,1.2,Vegan
Pelagic Fish,5.4,Carne
Pepper,2.5,Vegan
Pigmeat,7.9,Carne
Pimento,3.2,Vegan
Pineapples,1.9,Vegan
Plantains,1.6,Vegan
Potatoes,0.4,Vegan
Poultry Meat,5.4,Carne
Pulses,3.3,Vegan
"Pulses, Other",3.5,Vegan
Rape and Mustard Oil,2.9,Vegan
Rape and Mustardseed,2.9,Vegan
Rice (Milled Equivalent),3.9,Vegan
Rye,1,Vegan
Sesameseed,4.2,Vegan
Sesameseed Oil,4.2,Vegan
Soyabean Oil,1.8,Vegan
Soyabeans,2,Vegan
Spices,1.6,Vegan
"Spices, Other",1.6,Vegan
Starchy Roots,0.4,Vegan
Stimulants,0,"NA"
Sugar & Sweeteners,0.1,Vegan
Sugar (Raw Equivalent),0.1,Vegan
Sunflowerseed Oil,3.3,Vegan
"Sweeteners, Other",0,Vegan
Tea,1.9,Vegan
Tomatoes,1.5,Vegan
Treenuts,2,Vegan
Vegetable Oils,3.2,Vegan
Vegetables,1.6,Vegan
"Vegetables, Other",2.2,Vegan
Wheat,1,Vegan
Wine,1,Vegan
